No,Codigo,Departamento,Municipio,Latitud,Longitud,Nombre Establecimiento,Direccion
18049,17-08-0032-43,PETEN,DOLORES,16.506762,-89.413335,EORM,BARRIO SAN RAMON
18050,17-01-0031-43,PETEN,FLORES,16.986897,-89.413162,EORM,CASERIO LA MAQUINA
18051,17-01-2509-42,PETEN,FLORES,16.986897,-89.413162,EODP,CASERIO LA MAQUINA
18052,17-01-0072-45,PETEN,FLORES,16.986748,-89.413157,INEB DE TELESECUNDARIA,CASERIO LA MAQUINA
18053,17-12-0084-46,PETEN,POPTUN,16.318628,-89.412676,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO IXOBEL
18054,17-12-0370-43,PETEN,POPTUN,16.318687,-89.412634,EOUM,BARRIO IXOBEL
18055,17-08-3509-43,PETEN,DOLORES,16.515589,-89.412359,EORM,BARRIO SAN ANDRES
18056,17-08-3846-42,PETEN,DOLORES,16.515589,-89.412359,EODP ANEXA A EORM,BARRIO SAN ANDRES
18057,17-08-1069-43,PETEN,DOLORES,16.511953,-89.410422,EORM,BARRIO COBAN
18058,17-08-3119-42,PETEN,DOLORES,16.511953,-89.410422,CEIN -PAIN-,BARRIO COBAN
18059,17-08-2400-45,PETEN,DOLORES,16.506429,-89.410239,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO. 9,BARRIO SAN RAMON
18060,17-12-0365-42,PETEN,POPTUN,16.32205,-89.409832,EODP,BARRIO IXOBEL
18061,17-12-0393-45,PETEN,POPTUN,16.32307,-89.408915,IEBC DE ENSE??ANZA,BARRIO IXOBEL
18062,17-09-0133-43,PETEN,SAN LUIS,15.932868,-89.408663,EORM,CASERIO EL CAMPAMENTO
18063,17-09-0086-43,PETEN,SAN LUIS,16.161428,-89.408418,"EORM BARRIO EL RELLENO, CASERIO IXBOBO CARRETERA",BARRIO EL RELLENO CASERIO IXBOBO CARRETERA
18064,17-09-0149-42,PETEN,SAN LUIS,16.161383,-89.408413,EODP ANEXA A EORM,BARRIO EL RELLENO CASERIO IXBOBO
18065,17-09-0059-43,PETEN,SAN LUIS,15.905375,-89.404812,EORM COMUNIDAD CHAQUIGRACIA,COMUNIDAD CHAQUIGRACIA
18066,17-12-0385-43,PETEN,POPTUN,16.328119,-89.404705,EORM,BARRIO SANTA FE
18067,17-12-3050-45,PETEN,POPTUN,16.328119,-89.404705,INEB DE TELESECUNDARIA,BARRIO SANTA FE
18068,17-12-3439-42,PETEN,POPTUN,16.320264,-89.404309,EODP,COLONIA LA AMISTAD
18069,17-12-3440-43,PETEN,POPTUN,16.320264,-89.404309,EORM,COLONIA LA AMISTAD
18070,17-12-0385-42,PETEN,POPTUN,16.328091,-89.404149,EODP,BARRIO SANTA FE
18071,17-09-0221-43,PETEN,SAN LUIS,16.148802,-89.404115,EORM,ALDEA IXBOBO
18072,17-09-2323-43,PETEN,SAN LUIS,16.148802,-89.404115,EORM,ALDEA IXBOBO
18073,17-09-2351-42,PETEN,SAN LUIS,16.148802,-89.404115,EODP ANEXA A EORM,ALDEA IXBOBO
18074,17-09-2727-45,PETEN,SAN LUIS,16.148802,-89.404115,INEB DE TELESECUNDARIA,ALDEA IXBOBO
